iter	Logloss
0	0.6558600292
1	0.6348962881
2	0.6116314343
3	0.5958959736
4	0.5776258096
5	0.5679047547
6	0.5500046046
7	0.5375514147
8	0.5280642725
9	0.5185611969
10	0.5075203279
11	0.4985384359
12	0.4899052763
13	0.4831758212
14	0.47551548
15	0.4687041112
16	0.462058898
17	0.457401502
18	0.4516419159
19	0.4474405157
20	0.4419836738
21	0.4376114094
22	0.4343290476
23	0.4313702217
24	0.4251287542
25	0.420059481
26	0.4172631565
27	0.413661329
28	0.4098663985
29	0.4068115415
30	0.4029101645
31	0.4001504077
32	0.3975694876
33	0.3945629116
34	0.3918506079
35	0.3892276774
36	0.3878425423
37	0.3857659349
38	0.3836543343
39	0.3808424137
40	0.3788529748
41	0.3773965713
42	0.3756843167
43	0.3738071105
44	0.372010607
45	0.3717769301
46	0.3706148577
47	0.3695245929
48	0.3685912305
49	0.3665102439
50	0.3653475685
51	0.363210688
52	0.3620261731
53	0.3611249699
54	0.360061336
55	0.3573232146
56	0.3551863131
57	0.3542836843
58	0.3521497147
59	0.348877439
60	0.3470635272
61	0.3461821837
62	0.3451726053
63	0.3440465739
64	0.3424716029
65	0.3411695767
66	0.3400313742
67	0.3395301901
68	0.336977199
69	0.3343213686
70	0.3327096253
71	0.3316225941
72	0.3306637472
73	0.3287158356
74	0.3262283294
75	0.3252569426
76	0.3236760853
77	0.3236720611
78	0.3222997187
79	0.3206617317
80	0.3192827341
81	0.3167896197
82	0.3152911496
83	0.3135676972
84	0.3131077294
85	0.3119495927
86	0.3105883016
87	0.308140425
88	0.3072990598
89	0.3056857876
90	0.3050216412
91	0.3040883067
92	0.302894638
93	0.3021300377
94	0.3010049651
95	0.300148799
96	0.2995872263
97	0.2988805982
98	0.2988553898
99	0.2982395301
100	0.2965470328
101	0.2948829737
102	0.2938791827
103	0.2926217269
104	0.2911008968
105	0.290522421
106	0.289399504
107	0.2883580481
108	0.2874249228
109	0.2859968977
110	0.2840204977
111	0.2830640037
112	0.2825869551
113	0.2814882258
114	0.2805893084
115	0.279229869
116	0.2785157683
117	0.2780277141
118	0.2771559107
119	0.2761973815
120	0.2754594246
121	0.2743638439
122	0.273879242
123	0.2738785292
124	0.2732311352
125	0.2727538645
126	0.2710811371
127	0.2705765356
128	0.2699450856
129	0.2697410953
130	0.2697341994
131	0.2693770926
132	0.2688684802
133	0.268275054
134	0.2672755948
135	0.265797579
136	0.2646932196
137	0.2633149624
138	0.2623122091
139	0.2605773498
140	0.2593309863
141	0.2582160393
142	0.2579106473
143	0.2572869373
144	0.2566244466
145	0.2559094385
146	0.255135131
147	0.2540506851
148	0.2531244006
149	0.2521317221
150	0.251173683
151	0.2507149896
152	0.2496125766
